Car Name,Price,Kms Driven,Fuel Type,Transmission,Ownership,Manufacturer,Engine,Seats,
Maruti Figo,33.29 crore,90211 km,CNG,Manual,Second,Maruti,1500cc,4,
Mercedes Swift,4.68 thousand,21515 km,Petrol,Manual,Third,Mercedes,800cc,4,
Ford C-Class,3.67 thousand,49078 km,Diesel,Automatic,First,Ford,1200cc,6,
 bmw innova ,43.38 lakh,35401 km,Diesel,Manual,Third,BMW,1500cc,7,
BMW City,28.82 lakh,89718 km,CNG,Automatic,Third,BMW,2000cc,6,
 hyundai figo ,37.37 crore,11954 km,CNG,Automatic,Third,Hyundai,2000cc,5,
Mercedes Nexon,3.36 thousand,143992 km,Electric,Manual,First,Mercedes,1000cc,5,
Mercedes Innova,25.88 crore,111301 km,CNG,Manual,First,Mercedes,1500cc,7,
Maruti i20,20.42 crore,111229 km,diesel,Automatic,Third,Maruti,1000cc,5,
Hyundai C-Class,16.59 crore,87008 km,Electric,Manual,Second,Hyundai,1000cc,6,
 ford city ,27.46 thousand,65126 km,Electric,Automatic,First,Ford,1500cc,4,
Tata X1,46.94crore,94581 km,Electric,Manual,Third,Tata,2000cc,6,
Ford C-Class,7.51 crore,93839 km,Electric,Automatic,Third,Ford,1200cc,4,
BMW City,2.85 thousand,107876 km,Electric,Automatic,Third,BMW,1000cc,6,
 hyundai swift ,14.28 lakh,129209 km,Electric,Manual,Second,Hyundai,1000cc,7,
 bmw c-class ,49.6 thousand,140843 km,Electric,Manual,First,BMW,2000cc,6,
Toyota Figo,40.3 crore,94812 km,Electric,Manual,First,Toyota,1000cc,5,
Tata C-Class,8.05lakh,33746 km,cng,Manual,Third,Tata,2000cc,5,
Toyota Nexon,9.15 thousand,8324 km,CNG,Automatic,First,Toyota,1200cc,4,
 bmw c-class ,2.62 crore,63319 km,CNG,Automatic,Third,BMW,1000cc,4,
 tata i20 ,48.48 thousand,103333 km,Diesel,Automatic,Third,Tata,1200cc,4,
 tata i20 ,35.41 thousand,42789 km,Petrol,Automatic,Third,Tata,2000cc,6,
Hyundai Swift,45.11 crore,98426 km,Diesel,Manual,First,Hyundai,1500cc,4,
Toyota Innova,18.92 thousand,131722 km,diesel,Automatic,Third,Toyota,1200cc,7,
BMW X1,9.94lakh,138671 km,petrol,Automatic,Third,BMW,1000cc,7,
Mercedes City,7.01 lakh,116649 km,Petrol,Manual,Third,Mercedes,800cc,5,
Tata Innova,27.85 lakh,85363 km,Petrol,Manual,Second,Tata,2000cc,5,
Maruti Nexon,19.23 crore,8465 km,CNG,MANUAL,Third,Maruti,1500cc,6,
Tata Figo,20.98 lakh,103276 km,Electric,Automatic,First,Tata,1200cc,6,
Mercedes Figo,41.45 thousand,94192 km,Electric,Manual,Third,Mercedes,1500cc,5,
Hyundai Innova,45.87 lakh,126303 km,Diesel,Manual,First,Hyundai,2000cc,5,
 tata i20 ,22.51 lakh,125285 km,petrol,Automatic,First,Tata,800cc,7,
Mercedes Nexon,10.38 thousand,12918 km,CNG,Automatic,Second,Mercedes,1000cc,5,
BMW Nexon,16.93thousand,112771 km,CNG,Automatic,Third,BMW,800cc,6,
Honda X1,4.87 lakh,80421 km,Petrol,Automatic,Third,Honda,800cc,4,
Maruti Nexon,11.98 lakh,14779 km,Diesel,Manual,Second,Maruti,1200cc,4,
Hyundai C-Class,6.91 thousand,100072 km,cng,Automatic,First,Hyundai,800cc,7,
Tata X1,29.78 thousand,146175 km,electric,Manual,Second,Tata,800cc,7,
 hyundai nexon ,18.41 crore,82287 km,CNG,MANUAL,First,Hyundai,2000cc,4,
 toyota nexon ,28.25 thousand,10667 km,diesel,Automatic,First,Toyota,2000cc,7,
Toyota City,4.24 thousand,93162 km,Diesel,Automatic,First,Toyota,2000cc,7,
Hyundai C-Class,40.66 thousand,107635 km,Diesel,Automatic,Second,Hyundai,1200cc,7,
 maruti nexon ,3.48lakh,61751 km,CNG,Manual,First,Maruti,1000cc,4,
BMW i20,28.61thousand,20733 km,electric,Automatic,Second,BMW,1000cc,7,
Honda City,39.03crore,105415 km,cng,Automatic,First,Honda,2000cc,4,
Mercedes Swift,10.61crore,74286 km,Petrol,Automatic,First,Mercedes,1200cc,4,
 honda nexon ,41.51 thousand,54639 km,petrol,Automatic,Second,Honda,1200cc,7,
Mercedes Nexon,26.01 thousand,119124 km,CNG,MANUAL,Second,Mercedes,1200cc,5,
 honda nexon ,39.09 lakh,110772 km,CNG,AUTOMATIC,Third,Honda,1500cc,7,
Mercedes City,33.32 crore,81439 km,petrol,Automatic,First,Mercedes,2000cc,6,
Toyota C-Class,9.16 lakh,107826 km,Diesel,Automatic,Second,Toyota,1500cc,5,
 ford swift ,30.76 lakh,64265 km,CNG,Automatic,First,Ford,1200cc,6,
Toyota Figo,7.87 lakh,120896 km,Petrol,Manual,Third,Toyota,2000cc,6,
Ford Figo,24.83 thousand,32809 km,electric,Automatic,Third,Ford,2000cc,6,
 tata city ,17.64 lakh,52144 km,Petrol,Manual,Third,,800cc,6,
Tata Innova,10.91 thousand,108338 km,Petrol,Automatic,Third,Tata,1200cc,6,
Mercedes City,16.01 thousand,19558 km,cng,Manual,First,Mercedes,1500cc,5,
 honda innova ,49.97 lakh,36804 km,Petrol,Manual,Third,Honda,2000cc,7,
Toyota i20,47.53 thousand,109628 km,CNG,Manual,Second,Toyota,800cc,6,
Hyundai i20,27.54 lakh,69666 km,Electric,Manual,First,Hyundai,1200cc,5,
BMW C-Class,43.28crore,9949 km,Petrol,Automatic,First,BMW,1500cc,7,
Mercedes City,7.49lakh,130196 km,cng,Manual,Second,Mercedes,1200cc,5,
Toyota Nexon,22.6 thousand,122142 km,Electric,Automatic,Third,Toyota,2000cc,4,
Toyota City,10.46 thousand,118503 km,Petrol,AUTOMATIC,Second,Toyota,1200cc,6,
 maruti i20 ,45.0 thousand,104921 km,Diesel,Automatic,Second,Maruti,1000cc,7,
 maruti swift ,11.19 crore,16324 km,Electric,Automatic,First,Maruti,2000cc,4,
Tata City,48.8 thousand,115979 km,CNG,AUTOMATIC,First,Tata,1500cc,5,
 mercedes i20 ,45.68 lakh,112657 km,CNG,Manual,First,Mercedes,1200cc,6,
Maruti Nexon,2.94 thousand,7470 km,Diesel,Automatic,First,Maruti,800cc,6,
 mercedes c-class ,15.45 crore,45188 km,Diesel,Manual,First,Mercedes,2000cc,6,
 honda nexon ,13.27lakh,105873 km,CNG,Automatic,Third,Honda,800cc,5,
Tata Swift,7.3 crore,27081 km,Petrol,Manual,Second,Tata,,7,
Tata City,5.08 thousand,145830 km,Diesel,Manual,Third,Tata,1000cc,4,
 tata innova ,38.85 lakh,41739 km,Electric,Manual,Third,Tata,1500cc,7,
 honda figo ,27.78crore,20185 km,petrol,Automatic,Third,Honda,1000cc,6,
Mercedes i20,23.28 thousand,105324 km,electric,Manual,First,Mercedes,2000cc,4,
Maruti X1,16.09 lakh,136472 km,Diesel,Manual,Third,Maruti,1000cc,6,
Ford X1,44.17 crore,38438 km,Diesel,Manual,First,Ford,1500cc,4,
BMW Figo,39.69 thousand,121424 km,Petrol,Automatic,Third,BMW,2000cc,4,
 toyota c-class ,,110734 km,Diesel,,Third,Toyota,2000cc,5,
 hyundai city ,22.73 lakh,20653 km,CNG,Automatic,Second,Hyundai,2000cc,5,
 ford x1 ,39.46 lakh,11698 km,Electric,Manual,Second,Ford,800cc,5,
 hyundai nexon ,33.54 thousand,31659 km,CNG,Manual,Third,Hyundai,1000cc,5,
Honda C-Class,10.9 thousand,149125 km,Petrol,Manual,First,Honda,1500cc,5,
 mercedes city ,4.17 thousand,58198 km,cng,Automatic,Third,Mercedes,800cc,4,
Tata Innova,48.98 lakh,79623 km,electric,Automatic,Third,Tata,2000cc,4,
Maruti City,47.67 thousand,64164 km,Electric,Manual,Second,Maruti,800cc,4,
Mercedes C-Class,30.26 crore,127724 km,Electric,Manual,Third,Mercedes,1200cc,4,
BMW C-Class,44.5 lakh,124613 km,Electric,Automatic,First,BMW,1500cc,6,
 ford x1 ,4.45 lakh,80499 km,petrol,Manual,Third,Ford,1200cc,5,
BMW X1,19.16 thousand,41330 km,petrol,Manual,Second,BMW,2000cc,4,
 tata c-class ,46.24thousand,137202 km,Electric,MANUAL,Third,Tata,2000cc,6,
Mercedes Swift,18.19 crore,,Diesel,AUTOMATIC,Third,Mercedes,1200cc,7,
Ford X1,34.71 thousand,75865 km,CNG,Automatic,First,Ford,1000cc,6,
BMW City,10.23 lakh,145742 km,petrol,Automatic,Second,BMW,2000cc,6,
Honda i20,9.12 thousand,53529 km,electric,Manual,Second,Honda,800cc,7,
 tata swift ,27.23 crore,14310 km,CNG,Automatic,First,Tata,1000cc,6,
Tata City,44.43 thousand,48455 km,Diesel,Automatic,Third,Tata,1000cc,5,
Honda X1,6.74 thousand,92870 km,cng,MANUAL,First,Honda,1200cc,4,
BMW X1,32.76 crore,85286 km,CNG,Manual,First,BMW,1000cc,5,
 bmw city ,23.67 thousand,99172 km,Electric,Automatic,Third,BMW,1000cc,5,
Honda Innova,32.27 crore,49819 km,CNG,Manual,Third,Honda,800cc,6,
Hyundai Innova,23.89 lakh,7480 km,Diesel,Automatic,Third,Hyundai,2000cc,6,
Hyundai City,13.11 lakh,73687 km,Petrol,Automatic,First,Hyundai,800cc,7,
BMW Innova,27.7 crore,122945 km,Electric,AUTOMATIC,Second,BMW,2000cc,4,
 toyota swift ,43.76 lakh,33346 km,Diesel,Manual,Second,Toyota,1500cc,5,
Honda C-Class,3.8 crore,99106 km,petrol,Manual,Second,Honda,1000cc,6,
 ford innova ,23.55lakh,25254 km,Diesel,Automatic,Second,Ford,1200cc,6,
Tata C-Class,15.54 thousand,133328 km,Electric,Manual,Second,Tata,800cc,7,
 honda x1 ,5.49 thousand,125917 km,Petrol,AUTOMATIC,Second,Honda,1200cc,4,
Maruti i20,19.64 crore,35847 km,Diesel,Manual,,Maruti,800cc,5,
 hyundai city ,23.08 lakh,80994 km,Petrol,Automatic,First,Hyundai,1000cc,6,
Mercedes Innova,8.38 crore,92296 km,Petrol,Automatic,,Mercedes,2000cc,4,
 honda x1 ,47.43 thousand,15136 km,Electric,Automatic,Second,Honda,800cc,5,
Toyota C-Class,17.44 crore,116107 km,Diesel,Automatic,Third,Toyota,1000cc,5,
 ford i20 ,6.07 crore,131066 km,electric,Automatic,Second,Ford,1500cc,5,
Hyundai Figo,8.08 lakh,133671 km,cng,Manual,Second,Hyundai,1500cc,4,
Maruti C-Class,21.85 thousand,85880 km,Diesel,Manual,First,Maruti,800cc,4,
Hyundai City,45.22 thousand,98999 km,Petrol,Manual,Third,Hyundai,800cc,5,
Ford Nexon,47.88 thousand,18464 km,Electric,Automatic,First,Ford,1500cc,4,
 honda city ,38.92 thousand,144773 km,diesel,Automatic,Third,Honda,1200cc,4,
 toyota c-class ,38.59 thousand,23673 km,Diesel,AUTOMATIC,First,Toyota,1200cc,5,
Hyundai X1,33.31thousand,28360 km,Diesel,Manual,Third,Hyundai,2000cc,6,
Toyota X1,20.76 crore,5781 km,Electric,Automatic,Third,Toyota,1000cc,7,
Mercedes C-Class,39.51 crore,146627 km,Electric,Automatic,Third,Mercedes,1500cc,7,
Ford Swift,29.36crore,26327 km,Electric,Automatic,Third,Ford,1000cc,7,
Honda X1,7.16 thousand,102726 km,electric,Manual,Third,Honda,1000cc,4,
 hyundai c-class ,24.44 lakh,49858 km,CNG,Automatic,First,Hyundai,2000cc,4,
Ford Nexon,16.38 crore,131466 km,CNG,Automatic,Second,Ford,1000cc,5,
Ford C-Class,22.62 lakh,19499 km,Diesel,Automatic,Second,Ford,2000cc,7,
Honda C-Class,7.41 lakh,121346 km,petrol,Automatic,First,Honda,2000cc,7,
Toyota Nexon,47.87 lakh,146246 km,petrol,Manual,First,Toyota,800cc,6,
BMW Innova,4.71 crore,54847 km,CNG,AUTOMATIC,First,BMW,1200cc,5,
 toyota nexon ,49.19lakh,87470 km,Electric,Manual,First,Toyota,800cc,7,
 ford innova ,13.44 crore,142472 km,Electric,Automatic,First,Ford,1200cc,4,
Maruti i20,14.37 crore,115515 km,CNG,Automatic,Second,Maruti,1500cc,7,
BMW C-Class,38.56 lakh,102431 km,CNG,Automatic,Third,BMW,1000cc,4,
BMW Innova,30.05 lakh,42355 km,Diesel,Manual,Second,BMW,1500cc,7,
Hyundai X1,36.35 crore,100984 km,petrol,Manual,Second,Hyundai,800cc,6,
Mercedes X1,39.3 lakh,78064 km,CNG,Automatic,Third,Mercedes,1200cc,,
BMW Nexon,44.03 crore,114228 km,diesel,Manual,Second,BMW,1500cc,7,
Toyota Nexon,25.7 crore,136234 km,Diesel,Manual,Third,Toyota,2000cc,5,
 ford figo ,34.04 crore,91794 km,Petrol,Manual,First,Ford,1200cc,5,
 bmw figo ,20.64 lakh,103270 km,Electric,Manual,First,BMW,1200cc,6,
BMW City,41.92 lakh,147339 km,Diesel,Automatic,Third,BMW,2000cc,7,
BMW i20,22.4 crore,53871 km,Electric,Automatic,First,BMW,2000cc,5,
Hyundai Swift,34.77 lakh,120433 km,CNG,Automatic,Third,Hyundai,800cc,4,
 tata swift ,30.14 thousand,30134 km,Petrol,Automatic,First,Tata,1500cc,7,
BMW X1,32.08 thousand,106417 km,Electric,Automatic,Second,BMW,1500cc,6,
 tata nexon ,7.42 lakh,95637 km,electric,Automatic,Third,Tata,800cc,4,
 honda innova ,21.45 thousand,90029 km,CNG,Automatic,First,Honda,800cc,5,
BMW Swift,14.23 lakh,110896 km,Diesel,Manual,Third,BMW,2000cc,6,
 mercedes nexon ,38.58 crore,94959 km,petrol,Manual,Second,Mercedes,1200cc,6,
Toyota X1,2.98 thousand,50447 km,diesel,,Second,Toyota,1000cc,5,
Toyota City,26.86 lakh,10927 km,Electric,Automatic,Second,Toyota,2000cc,6,
 mercedes nexon ,15.67 lakh,102085 km,Electric,Manual,First,Mercedes,800cc,4,
Mercedes Innova,18.66 crore,98303 km,Petrol,Manual,Third,Mercedes,1500cc,4,
Hyundai i20,47.66thousand,147566 km,Diesel,Manual,Second,Hyundai,1200cc,4,
Mercedes X1,39.11 crore,53531 km,Electric,Automatic,First,Mercedes,1500cc,4,
 tata city ,8.01 lakh,144760 km,Diesel,Manual,First,Tata,2000cc,6,
BMW Nexon,12.43 thousand,84855 km,CNG,Manual,Third,BMW,1200cc,7,
BMW Figo,42.61 crore,15416 km,CNG,Automatic,Third,BMW,1500cc,6,
 mercedes c-class ,26.94 thousand,78560 km,Petrol,Automatic,Third,Mercedes,1000cc,4,
Mercedes i20,41.03 lakh,29058 km,Petrol,Manual,First,Mercedes,1500cc,7,
Honda City,23.06 crore,38095 km,Electric,Manual,Third,Honda,1200cc,4,
 ford innova ,37.03 crore,14528 km,Diesel,Automatic,Second,Ford,2000cc,7,
Maruti Nexon,24.79 lakh,22260 km,CNG,AUTOMATIC,Second,Maruti,1200cc,6,
Ford City,31.65 crore,71888 km,diesel,Manual,Second,Ford,2000cc,4,
Toyota X1,14.96 crore,83428 km,Petrol,Automatic,First,Toyota,2000cc,6,
Tata Innova,49.41 thousand,55003 km,CNG,Automatic,First,Tata,800cc,5,
Hyundai City,41.63 lakh,41371 km,Electric,Manual,Third,Hyundai,2000cc,5,
 maruti city ,21.36thousand,88698 km,Petrol,Automatic,First,Maruti,2000cc,5,
Mercedes Nexon,5.17lakh,145782 km,CNG,Manual,Third,Mercedes,1000cc,6,
 toyota city ,33.55 lakh,65025 km,Petrol,AUTOMATIC,First,Toyota,1200cc,6,
 toyota i20 ,37.73 lakh,84656 km,Electric,Manual,First,Toyota,1000cc,5,
 bmw city ,26.6 thousand,147609 km,Diesel,Manual,Second,BMW,2000cc,4,
BMW City,41.59 thousand,114772 km,Diesel,Manual,Second,BMW,800cc,7,
 bmw swift ,49.49 thousand,147452 km,Diesel,AUTOMATIC,First,BMW,1200cc,4,
 ford swift ,17.93 crore,35809 km,Electric,Automatic,Second,Ford,2000cc,7,
 tata figo ,38.59 thousand,134501 km,Electric,Automatic,Second,Tata,1000cc,7,
 bmw innova ,13.98 crore,109504 km,cng,Manual,Second,BMW,2000cc,5,
 mercedes nexon ,10.84 thousand,120893 km,Electric,Manual,First,Mercedes,2000cc,4,
Maruti i20,36.05 crore,24039 km,CNG,Manual,Second,Maruti,1000cc,6,
 tata c-class ,38.73 lakh,47471 km,Electric,AUTOMATIC,First,Tata,1500cc,4,
Hyundai City,26.74 crore,128065 km,diesel,Automatic,Second,Hyundai,2000cc,6,
Hyundai Swift,27.52 crore,78516 km,CNG,Manual,Second,Hyundai,1000cc,5,
 ford x1 ,30.53lakh,32291 km,CNG,Manual,Second,Ford,1000cc,7,
 honda x1 ,47.16 lakh,42301 km,Diesel,AUTOMATIC,First,Honda,2000cc,5,
 maruti figo ,27.87 thousand,12260 km,Diesel,Manual,First,Maruti,1500cc,6,
Tata Nexon,34.93 lakh,103330 km,CNG,Automatic,Second,Tata,1000cc,4,
Honda Nexon,27.47 thousand,109550 km,Diesel,Automatic,Third,Honda,1200cc,5,
 honda c-class ,49.24 thousand,139410 km,Petrol,Automatic,First,Honda,2000cc,6,
 hyundai innova ,35.6 lakh,63323 km,Petrol,MANUAL,Second,Hyundai,800cc,6,
Hyundai Innova,32.36 lakh,65631 km,CNG,Automatic,Third,Hyundai,800cc,6,
 honda c-class ,24.24 thousand,24436 km,electric,Automatic,Third,Honda,800cc,4,
Ford i20,15.35 lakh,50738 km,CNG,Manual,Third,Ford,2000cc,4,
Mercedes Swift,6.15 crore,32751 km,Petrol,Automatic,First,Mercedes,1200cc,4,
Honda City,18.24 crore,92955 km,CNG,Automatic,Third,Honda,2000cc,5,
Ford Innova,10.02 thousand,136253 km,CNG,Automatic,Third,Ford,800cc,4,
Tata Figo,46.43 crore,67515 km,Diesel,Manual,First,Tata,2000cc,6,
Hyundai City,9.15 crore,136586 km,Petrol,Automatic,First,Hyundai,800cc,6,
Tata Nexon,47.88 lakh,98229 km,CNG,Automatic,Third,Tata,800cc,4,
Maruti Nexon,44.38 crore,117373 km,CNG,Automatic,Second,Maruti,2000cc,4,
BMW i20,27.98 lakh,113687 km,Electric,Manual,Second,BMW,1000cc,7,
Hyundai Nexon,37.33 crore,84556 km,Diesel,Automatic,Third,Hyundai,800cc,7,
 ford x1 ,34.36 lakh,28999 km,electric,Automatic,First,Ford,1200cc,4,
Honda Nexon,26.76 crore,19480 km,Diesel,Automatic,Second,Honda,800cc,4,
Ford Innova,46.28 lakh,123008 km,CNG,Automatic,Third,Ford,1000cc,5,
Toyota X1,8.59 lakh,31639 km,Electric,Manual,Second,Toyota,1000cc,6,
 honda city ,36.8 lakh,20086 km,CNG,Automatic,Third,Honda,1200cc,5,
Hyundai Swift,25.35 lakh,130878 km,Electric,Automatic,Second,Hyundai,2000cc,4,
 maruti nexon ,17.5 lakh,116437 km,cng,MANUAL,First,Maruti,1500cc,4,
Hyundai X1,28.48 thousand,126503 km,cng,Automatic,First,Hyundai,1500cc,5,
Honda i20,9.78 thousand,123783 km,Petrol,Automatic,Third,Honda,1500cc,4,
Tata Swift,39.26 lakh,73542 km,Electric,Automatic,Third,Tata,2000cc,7,
Maruti Swift,46.61thousand,148353 km,Electric,Automatic,First,Maruti,1200cc,4,
 toyota x1 ,28.03 lakh,103169 km,Petrol,Manual,Second,Toyota,1500cc,4,
BMW Nexon,22.05 thousand,118253 km,diesel,Automatic,First,BMW,2000cc,6,
 maruti nexon ,23.56thousand,80175 km,CNG,Manual,First,Maruti,1200cc,7,
 bmw x1 ,9.33 lakh,146935 km,Petrol,Automatic,First,BMW,1200cc,6,
 tata x1 ,25.53 lakh,61010 km,Petrol,Automatic,Third,Tata,2000cc,5,
 hyundai figo ,38.44 lakh,84748 km,electric,Automatic,Second,Hyundai,1200cc,6,
 hyundai c-class ,13.47 lakh,10944 km,Petrol,Manual,First,Hyundai,1000cc,4,
Toyota i20,8.73 crore,99413 km,Petrol,Automatic,Second,Toyota,1500cc,7,
BMW Nexon,28.35 thousand,143377 km,Electric,Manual,Third,BMW,2000cc,5,
 toyota innova ,23.26 lakh,144124 km,Electric,AUTOMATIC,Third,Toyota,1200cc,6,
Ford i20,41.71 lakh,97024 km,Petrol,MANUAL,First,Ford,2000cc,7,
 honda nexon ,41.82 lakh,125312 km,Diesel,Automatic,First,Honda,1000cc,5,
Maruti Figo,23.5 lakh,122285 km,Diesel,Automatic,Second,Maruti,1000cc,5,
 hyundai i20 ,3.99crore,43381 km,Electric,Manual,Third,Hyundai,2000cc,5,
Honda Figo,43.21 crore,39840 km,Diesel,MANUAL,Third,Honda,800cc,4,
BMW X1,2.85 thousand,41389 km,Electric,Automatic,First,BMW,1500cc,7,
 honda x1 ,49.25 lakh,57100 km,Electric,Automatic,Third,Honda,1200cc,6,
 honda city ,36.63 thousand,81304 km,Diesel,Manual,Third,Honda,1500cc,6,
Toyota Figo,7.08 lakh,131584 km,CNG,Automatic,,Toyota,1500cc,5,
Maruti Figo,24.59lakh,46170 km,Electric,Automatic,Second,Maruti,2000cc,6,
 bmw i20 ,31.63thousand,65321 km,CNG,Automatic,First,BMW,2000cc,7,
Hyundai Swift,27.21 thousand,28048 km,Petrol,Automatic,First,Hyundai,1500cc,6,
 toyota swift ,27.53 crore,43014 km,Petrol,Automatic,First,Toyota,800cc,5,
 maruti figo ,18.2 thousand,106736 km,petrol,Manual,Third,Maruti,1000cc,7,
 hyundai figo ,38.74 lakh,24958 km,CNG,Manual,First,Hyundai,1200cc,7,
Hyundai C-Class,13.62 crore,77342 km,Petrol,Manual,Third,Hyundai,2000cc,5,
Toyota X1,7.54 lakh,131623 km,Diesel,Manual,Second,Toyota,800cc,5,
 honda figo ,20.97 thousand,100844 km,Electric,MANUAL,Third,Honda,2000cc,4,
 honda i20 ,34.09 thousand,141263 km,Diesel,MANUAL,Third,Honda,1200cc,7,
 maruti city ,5.6 crore,80277 km,Petrol,Manual,Third,Maruti,800cc,4,
Mercedes Nexon,17.3thousand,75196 km,Petrol,Automatic,Second,Mercedes,2000cc,6,
Toyota Swift,45.65 thousand,64679 km,Diesel,Automatic,First,Toyota,800cc,7,
BMW Figo,11.62 lakh,25437 km,CNG,Automatic,Second,BMW,1200cc,5,
Maruti Innova,23.49 crore,49352 km,,Automatic,First,Maruti,800cc,6,
BMW Figo,21.47 thousand,91551 km,Petrol,Manual,Third,BMW,1000cc,6,
 tata i20 ,37.04 lakh,64908 km,Diesel,Automatic,First,Tata,1500cc,4,
Ford Innova,18.59 thousand,83096 km,CNG,Automatic,Second,Ford,1000cc,5,
Tata C-Class,25.39 thousand,62205 km,CNG,Automatic,Second,Tata,1200cc,6,
Maruti Figo,3.1 thousand,49993 km,Diesel,Manual,First,Maruti,2000cc,4,
Honda Innova,16.85 thousand,18097 km,petrol,,Third,Honda,1500cc,7,
Ford Figo,36.63 crore,117908 km,Diesel,Automatic,Third,Ford,2000cc,5,
BMW i20,3.4 thousand,127152 km,Petrol,Automatic,Third,BMW,1000cc,7,
 toyota figo ,28.87 crore,59747 km,diesel,Manual,Third,Toyota,1500cc,5,
BMW i20,36.35 lakh,107251 km,petrol,Automatic,First,BMW,1500cc,5,
 ford innova ,15.79thousand,41273 km,electric,Automatic,Third,Ford,2000cc,4,
 ford i20 ,7.0 lakh,68798 km,electric,Manual,First,Ford,1000cc,4,
Hyundai i20,5.44 crore,39878 km,Petrol,Manual,Second,Hyundai,2000cc,5,
 tata c-class ,22.64thousand,132154 km,Diesel,Automatic,Third,Tata,1000cc,6,
Ford Swift,9.82 thousand,90989 km,Electric,Automatic,Third,Ford,800cc,7,
Honda Innova,13.02lakh,76775 km,diesel,Automatic,Second,Honda,800cc,5,
 hyundai c-class ,29.79thousand,27723 km,CNG,Automatic,Second,Hyundai,1000cc,4,
BMW C-Class,45.77 thousand,108172 km,Electric,Automatic,Third,BMW,800cc,4,
Tata City,18.79 lakh,23923 km,petrol,Manual,Third,Tata,1000cc,5,
Hyundai Figo,17.49thousand,56611 km,Petrol,Automatic,Third,Hyundai,2000cc,6,
Ford X1,33.02 crore,83659 km,Petrol,Automatic,Third,Ford,800cc,6,
Tata Swift,24.1 crore,63367 km,Diesel,Manual,Third,Tata,2000cc,7,
 maruti innova ,33.02 lakh,24308 km,cng,AUTOMATIC,Second,Maruti,2000cc,5,
Honda Figo,11.25 thousand,122319 km,Electric,Manual,Third,Honda,1200cc,4,
BMW Figo,35.58 thousand,27877 km,Electric,Automatic,Second,BMW,2000cc,6,
 mercedes city ,25.75 thousand,5246 km,Diesel,Manual,First,Mercedes,1200cc,7,
 bmw city ,17.65 thousand,103340 km,Diesel,Manual,Third,BMW,1200cc,5,
Mercedes X1,49.81 lakh,120826 km,Petrol,Automatic,Second,Mercedes,1500cc,5,
 toyota innova ,11.11 lakh,21133 km,CNG,Manual,Third,Toyota,2000cc,5,
Tata City,6.21crore,47781 km,Diesel,Automatic,Second,Tata,1500cc,7,
Ford X1,47.79 crore,18349 km,Petrol,Automatic,First,Ford,800cc,4,
BMW Nexon,25.2 crore,117413 km,CNG,Manual,First,BMW,1200cc,7,
Honda Nexon,43.61lakh,83289 km,Diesel,Manual,First,Honda,1000cc,4,
Hyundai City,31.21 crore,68255 km,Diesel,Automatic,Second,Hyundai,2000cc,5,
Tata C-Class,47.97 crore,91041 km,electric,Manual,First,Tata,1500cc,6,
 hyundai nexon ,23.25 crore,104745 km,electric,Automatic,Second,Hyundai,800cc,7,
Maruti Nexon,31.46 crore,138900 km,Diesel,Manual,First,Maruti,1000cc,7,
 toyota city ,45.81 thousand,76362 km,electric,Manual,Third,Toyota,1200cc,4,
Ford i20,21.63 crore,25865 km,Electric,Manual,First,Ford,1000cc,7,
BMW i20,5.12 crore,140748 km,Diesel,Automatic,Second,BMW,2000cc,7,
Hyundai Figo,25.16 lakh,76983 km,Diesel,MANUAL,Second,Hyundai,2000cc,5,
 toyota i20 ,7.65 lakh,90882 km,Petrol,Manual,Second,Toyota,1000cc,5,
Mercedes Figo,46.1 crore,121314 km,Petrol,Manual,Third,Mercedes,1200cc,7,
 tata c-class ,27.34 thousand,133917 km,CNG,MANUAL,First,Tata,2000cc,6,
 tata x1 ,7.41 lakh,58089 km,Petrol,Automatic,Third,Tata,1200cc,5,
BMW Innova,19.4 crore,28112 km,petrol,Manual,Second,BMW,1200cc,5,
Tata i20,48.57lakh,82811 km,Diesel,Manual,First,Tata,1200cc,7,
Hyundai Nexon,11.08 lakh,148901 km,Petrol,Automatic,First,Hyundai,2000cc,4,
Mercedes i20,33.03 thousand,113895 km,Diesel,Manual,First,Mercedes,800cc,4,
Mercedes X1,34.19 crore,102502 km,Electric,Manual,Third,Mercedes,800cc,4,
Tata Nexon,26.47 crore,116144 km,Diesel,Automatic,Third,Tata,800cc,6,
,27.81 thousand,132762 km,Electric,Manual,First,Mercedes,2000cc,4,
BMW C-Class,36.67thousand,91545 km,Electric,Automatic,First,BMW,2000cc,6,
Mercedes City,25.87 crore,33633 km,Electric,Manual,Second,Mercedes,800cc,4,
Hyundai Figo,39.29thousand,14096 km,diesel,MANUAL,First,Hyundai,800cc,6,
Honda City,7.2 thousand,32105 km,diesel,Manual,First,Honda,1200cc,5,
 toyota innova ,34.07 crore,20842 km,Petrol,Manual,First,Toyota,1000cc,5,
 ford city ,37.97 crore,55023 km,cng,Automatic,Second,Ford,1200cc,5,
 hyundai swift ,36.75 crore,46476 km,Electric,Automatic,First,Hyundai,2000cc,5,
Toyota Innova,49.14 thousand,99088 km,CNG,MANUAL,Second,Toyota,1500cc,5,
BMW C-Class,36.27 crore,79889 km,Diesel,Automatic,Third,BMW,1500cc,5,
Maruti C-Class,36.61 thousand,8937 km,Diesel,Manual,Third,Maruti,800cc,5,
Mercedes City,5.69 crore,126433 km,petrol,Automatic,Third,Mercedes,1200cc,5,
